A0A087WTH1_human A0A2I3MPH4_baboon A0A3Q1MFP3_cow A0A5F8HGV3_opossum A0A8I3NQU2_dog E9Q8G3_mouse
A0A2I3LME7_baboon A0A8I3MEK5_dog F7EH88_opossum Q3ZC67_cow Q9BPZ3_human Q9D6V8_mouse
A0A096P218_baboon A0A8I3NLJ2_dog A2VDU2_cow F6W7N1_opossum Q8BKH7_mouse Q9BPZ7_human
A0A096N4G9_baboon A0A5F8H5H9_opossum A0A8I3NC39_dog Q2KIV3_cow Q8VE92_mouse Q9BQ04_human
A0A2I3M968_baboon A0A8I3P878_dog F7CMK4_opossum Q05B78_cow Q8VCM3_mouse Q9BQ24_human
A0A096P1K8_baboon A0A3Q1M2W6_cow A0A8I3NNV6_dog F6WY92_opossum Q9BQ51_human Q9WUL5_mouse
A0A2I3MFP2_baboon A0A8I3MNR3_dog E1BDK7_cow F6YKA6_opossum Q80Y81_mouse Q9BQ52_human
A0A0A0MX04_baboon A0A8I3P240_dog F1MHW3_cow F6XWS3_opossum Q9BQ61_human Q9D735_mouse
A0A2I3MDI6_baboon A0A8I3ML16_dog F6TSW3_opossum Q0II50_cow Q91W78_mouse Q9BQ65_human
A0A096NH57_baboon A0A5F8H2L2_opossum A0A8I3ME34_dog F1MYH7_cow Q8R3L2_mouse Q9BQ70_human
A0A2I3MFU5_baboon A0A452DIN7_cow A0A8I3P8U7_dog F7CVV8_opossum Q9BQ75_human Q9CZT6_mouse
A0A096NHR5_baboon A0A8I3MM76_dog F7EIL2_opossum Q32PI0_cow Q8BX32_mouse Q9BQ83_human
A0A096N0M2_baboon A0A5F8G3U7_opossum A0A8I3S1A5_dog Q58DG5_cow Q8R184_mouse Q9BQ89_human
A0A096NI88_baboon A0A8I3N5E5_dog F7GKU4_opossum Q58CV6_cow Q8VEM9_mouse Q9BQ90_human
A0A0A0MUD4_baboon A0A8I3P655_dog F7FTB5_opossum Q3SX05_cow Q9BQ95_human Q9QZH6_mouse
A0A096N059_baboon A0A8I3MI84_dog F7FVZ4_opossum Q5E9I7_cow Q99J09_mouse Q9BQA1_human
A0A096N8F5_baboon A0A8I3MHT9_dog F1MZ17_cow F7D9I7_opossum Q8K1K9_mouse Q9BQA5_human
A0A096NTP1_baboon A0A5F8HKT6_opossum A0A8I3MT26_dog Q3SZM3_cow Q3TYS2_mouse Q9BQA9_human
A0A096P5Y4_baboon A0A5F8GCV4_opossum A0A8I3NHP7_dog Q99P68_mouse Q9BG79_cow Q9BQB4_human
A0A096NQ66_baboon A0A140T8A2_cow A0A8I3PZP9_dog F6Q4T5_opossum Q9BQC3_human Q9CR25_mouse
A0A8I3P9S1_dog A0A8I5NB20_baboon F6XXY1_opossum Q3ZC04_cow Q9BQC6_human Q9CQF8_mouse
A0A0A0MW34_baboon A0A8I3S237_dog F1MN50_cow F7CSK1_opossum Q80XH1_mouse Q9BQD3_human
A0A2I3NFL5_baboon A0A8I3MGS4_dog F7ALS4_opossum Q2KI76_cow Q9BCZ4_mouse Q9BQE4_human
A0A096MQJ8_baboon A0A8I3S4I3_dog A7MBJ2_cow F6V2A6_opossum Q8BUH8_mouse Q9BQF6_human
A0A096P2F8_baboon A0A5F8GSH7_opossum A0A8I3MH33_dog E1BKX3_cow Q7TPV4_mouse Q9BQG0_human
A0A096MMX4_baboon A0A8I3MIM2_dog F6XSU6_opossum Q29RH3_cow Q9BQG2_human Q9DCN1_mouse
A0A096N681_baboon C4PB17_dog F1MWN0_cow F7G5W1_opossum Q9BQI3_human Q9Z2R9_mouse
A0A8I3MA45_dog A0A8I5NJ67_baboon D3JEN6_cow F6R217_opossum Q9BQI4_human Q9D6Y1_mouse
A0A096N715_baboon A0A5F8G8L4_opossum A0A8I3PYT8_dog E1BJV6_cow Q8VD37_mouse Q9BQI5_human
A0A096MV07_baboon A0A5F8GTI3_opossum A0A8I3P3S8_dog A6QR20_cow Q8R3P9_mouse Q9BQI6_human
A0A096MP76_baboon A0A8I3MXU2_dog E1BHH5_cow F7CW81_opossum Q6P1I6_mouse Q9BQI7_human
A0A096N508_baboon A0A8I3PXK9_dog F1MMT7_cow F6PQL0_opossum Q9BQI9_human Q9JHR9_mouse
A0A5F8H1P6_opossum A0A8I5N4V3_baboon Q1JPA3_cow Q9BQJ4_human Q9JJG6_mouse Q9XSV3_dog
A0A096NVG8_baboon A0A8I3QCU1_dog F1MQH3_cow F6YTW9_opossum P59113_mouse Q9BQL6_human
A0A096NUV0_baboon A0A8I3PTJ3_dog A2AKE5_mouse E1BK21_cow F6Q4B9_opossum Q9BQM9_human
A0A096NUP9_baboon A0A8I3NXD7_dog A2ARK0_mouse F1N708_cow H9H7E8_opossum Q9BQN1_human
A0A096NVN0_baboon A0A8I3RZK6_dog F7BXN1_opossum Q1LZC4_cow Q9BQP7_human Q9CXC3_mouse
A0A096N1L8_baboon A0A8I3Q4E7_dog K7DZF6_opossum Q2YDP4_cow Q91X51_mouse Q9BQQ3_human
A0A8I3RRL0_dog A0A8I5NCU1_baboon F1N7F5_cow F6ZDB9_opossum Q8BJR6_mouse Q9BQR3_human
A0A8I3NBX8_dog A0A8I5N0I9_baboon E1BBR6_cow F6RJR8_opossum Q8VDC1_mouse Q9BQS8_human
A0A096NUN2_baboon A0A5F8HGJ3_opossum A0A8I3MMD3_dog A0JN87_cow Q8BZ09_mouse Q9BQT8_human
A0A096MRF0_baboon A0A8I3S4W0_dog F7FAT6_opossum Q0VCN6_cow Q99JH7_mouse Q9BQT9_human
A0A2I3MRY5_baboon A0A5F8G4V7_opossum A0A8I3NZM0_dog E1BFT2_cow Q8K4J2_mouse Q9BQW3_human
A0A096NX66_baboon A0A8I3NXA0_dog F2Z4B9_cow F7G8N2_opossum Q9BQY9_human Q9CRD4_mouse
A0A2I3LX39_baboon A0A8I3NNZ9_dog F7FS04_opossum P63046_mouse Q17QV7_cow Q9BR01_human
A0A096NX28_baboon A0A8I3P462_dog F1MTH7_cow F6QPQ5_opossum Q9BR09_human Q9D0S4_mouse
A0A096NX29_baboon A0A8I3NWG5_dog E1BER7_cow F6QQ47_opossum Q9BR10_human Q9DA57_mouse
A0A096NCU6_baboon A0A8I3NZC1_dog A6QNK2_cow F6ST12_opossum Q9BR11_human Q9CWV7_mouse
A0A096NBD6_baboon A0A5F8GNY8_opossum A0A8I3MFB6_dog A2VDR2_cow Q9BR61_human Q9D061_mouse
A0A096N7V1_baboon A0A3Q1LNM9_cow A0A8I3Q9F1_dog F6QAG5_opossum Q9BR77_human Q9CZH8_mouse
A0A2I3MZ03_baboon A0A5F8GTX9_opossum A0A8I3PYN0_dog E1BP86_cow Q9BRA0_human Q9D2U5_mouse
A0A2I3MB77_baboon A0A8I3Q2Q7_dog F1MKT3_cow F6T468_opossum Q8K3R3_mouse Q9BRC7_human
A0A096NLS5_baboon A0A5F8GIR8_opossum A0A8I3NKK7_dog Q58DC0_cow Q8BFS6_mouse Q9BRF8_human
A0A2I3MUY2_baboon A0A8I3NID4_dog F7FUU3_opossum Q5E9A6_cow Q9BRG1_human Q9CQ80_mouse
A0A2I3MA59_baboon A0A5F8GJS3_opossum A0A8I3NLD3_dog F1MMX3_cow Q2HJ10_mouse Q9BRI3_human
A0A2I3MPK0_baboon A0A5F8GKJ3_opossum A0A8I3NV12_dog F1MEP0_cow Q9BRJ2_human Q9D0Q7_mouse
A0A2I3MZF0_baboon A0A3Q1MJP5_cow A0A5F8G6L1_opossum A0A8I3N434_dog Q9BRJ6_human Q9CXL3_mouse
A0A096NLF8_baboon A0A5F8G5N3_opossum A0A8I3PA98_dog Q3MHX9_cow Q8VHN8_mouse Q9BRJ7_human
A0A096MZY9_baboon A0A8I3PHT6_dog F7FU67_opossum Q2KI30_cow Q8VCD6_mouse Q9BRK0_human
A0A2I3NFA9_baboon A0A8I3PWU3_dog F7FD57_opossum Q148M6_cow Q9BRK3_human Q9DBV4_mouse
A0A096P6A7_baboon A0A8I3NZ94_dog A5PKL7_cow F7CV17_opossum Q91YU6_mouse Q9BRK4_human
A0A2I3MTS4_baboon A0A8I3PU05_dog F7A470_opossum Q3ZBZ1_cow Q61112_mouse Q9BRK5_human
A0A2I3NIE4_baboon A0A8I3S444_dog F6UYX5_opossum Q2YDJ2_cow Q8BXT9_mouse Q9BRL7_human
A0A096NNG7_baboon A0A3Q1NM80_cow A0A8I3MG65_dog F7CV01_opossum Q8BJ83_mouse Q9BRN9_human
A0A096NVN1_baboon A0A8I3S2D0_dog E1BDB8_cow F7GFR3_opossum Q8CIV7_mouse Q9BRP0_human
A0A096N4Z4_baboon A0A8I3QAN8_dog H9H6E0_opossum Q2TBI8_cow Q9BRQ3_human Q9DD16_mouse
A0A096P4X6_baboon A0A8I3N7H3_dog A5PJM4_cow F7CE89_opossum Q8BUE4_mouse Q9BRQ8_human
A0A096NMN1_baboon A0A8I3PVY7_dog A2VE47_cow F6R7Y9_opossum Q8VDL4_mouse Q9BRR6_human
A0A8I3MHD2_dog A0A8I5N4F2_baboon F6Z6Q3_opossum Q24K12_cow Q9BRR8_human Q9DBM1_mouse
A0A2I3NEE0_baboon A0A8I3NZ39_dog E1B887_cow F6Y7X8_opossum Q922Q2_mouse Q9BRS2_human
A0A096NMK5_baboon A0A5F8GW59_opossum A0A8I3PRB1_dog A6H7E4_cow Q8BN59_mouse Q9BRS8_human
A0A096NHK3_baboon A0A8I3PYH9_dog F6VRB5_opossum Q3SZ13_cow Q9BRT2_human Q9CQY6_mouse
A0A8I3N9L8_dog A0A8I5NAQ3_baboon F7C946_opossum Q148C8_cow Q9BRT3_human Q9CQ86_mouse
A0A096MY12_baboon A0A5F8G9X2_opossum A0A8I3NNR1_dog Q2TBR9_cow Q9BRT6_human Q9D945_mouse
A0A096NZQ9_baboon A0A8I3MZZ1_dog A2VE40_cow F7F7I1_opossum Q99LZ3_mouse Q9BRT9_human
A0A096NYZ5_baboon A0A8I3P233_dog F6UDS3_opossum Q08DU1_cow Q9BRU9_human Q9CX11_mouse
A0A096MT12_baboon A0A5F8GJQ5_opossum A0A8I3NSG2_dog E1BK22_cow Q9BRV3_human Q9CXK4_mouse
A0A096MMI9_baboon A0A8I3Q1N8_dog F6TQ91_opossum Q0VCF3_cow Q9BRV8_human Q9CPR7_mouse
A0A096NJ08_baboon A0A8I3RS22_dog F7GKR2_opossum Q08E12_cow Q9BRX5_human Q9CY94_mouse
A0A096P4F7_baboon A0A5F8HBI4_opossum A0A8I3P4M2_dog Q3ZBK2_cow Q9BRX8_human Q9CYH2_mouse
A0A0A0MW72_baboon A0A8I3P1J7_dog F6PH65_opossum Q0VCN2_cow Q9BRX9_human Q9DAJ4_mouse
A0A0A0MVI6_baboon A0A8I3NUS1_dog F7CKN7_opossum Q5E960_cow Q99K24_mouse Q9BRY0_human
A0A096N924_baboon A0A5F8H2W7_opossum A0A8I3NB51_dog F1MLG9_cow Q9BS16_human Q9ESN5_mouse
A0A8I3QJ90_dog A0A8I5NBJ0_baboon F7B352_opossum Q2NKV2_cow Q8R034_mouse Q9BS18_human
A0A096P113_baboon A0A8I3N2H6_dog F6WEB0_opossum Q3T0L2_cow Q9BS26_human Q9D1Q6_mouse
A0A096N686_baboon A0A8I3PT76_dog F1N120_cow F7EHR1_opossum P70202_mouse Q9BS40_human
A0A8I3NBY9_dog A0A8I5MVV8_baboon F1N369_cow F6YX37_opossum Q62522_mouse Q9BS86_human
A0A096MX41_baboon A0A8I3Q7U4_dog A6QPI1_cow F7F201_opossum Q921R7_mouse Q9BS91_human
A0A096MZ92_baboon A0A3Q1M817_cow A0A5F8H9J7_opossum A0A8I3MY87_dog Q9BSA9_human Q9CXY1_mouse
A0A2I3LUN8_baboon A0A5F8GGA3_opossum A0A8I3PZL3_dog E1BKR4_cow Q5RJG1_mouse Q9BSC4_human
A0A096N7H8_baboon A0A8I3PJ28_dog F6PR73_opossum Q1LZE2_cow Q8K3A4_mouse Q9BSD3_human
A0A096MSK8_baboon A0A8I3MLT8_dog F1MM52_cow F7BTX5_opossum Q9BSD7_human Q9CQA9_mouse
A0A096MRS3_baboon A0A8I3RX17_dog F6XIM1_opossum Q5E9U3_cow Q9BSE2_human Q9D709_mouse
A0A096N4J5_baboon A0A8I3PX79_dog F6XX93_opossum Q0P5H8_cow Q9BSE4_human Q9JJC9_mouse
A0A096N3A3_baboon A0A8I3RP09_dog A2AS89_mouse E1BLC0_cow F7GBU4_opossum Q9BSE5_human
A0A0A0MUF5_baboon A0A8I3PCJ4_dog G3N3L6_cow K7E612_opossum Q8BGX2_mouse Q9BSF4_human
A0A3Q1LYS0_cow A0A5F8HDX5_opossum A0A8I3PDW0_dog A0A8I5NRP1_baboon Q80X66_mouse Q9BSF8_human
A0A8I3PAR9_dog A0A8I5MX99_baboon A6QQW5_cow H9H706_opossum Q9BSG0_human Q9D9N8_mouse
A0A096MVX1_baboon A0A5F8GMH7_opossum A0A8I3N0P6_dog Q29RZ4_cow Q8BIQ3_mouse Q9BSG1_human
A0A0A0MVH3_baboon E1BK45_cow K7E4M5_opossum Q4TUC0_dog Q8QZY4_mouse Q9BSG5_human
A0A096NQF8_baboon F6UY37_opossum Q3MHK5_cow Q861Y6_dog Q9BSH3_human Q9CQM0_mouse
A0A096P6D9_baboon A0A8I3PDU7_dog E1BJK7_cow F6USR6_opossum Q8K0Z7_mouse Q9BSH4_human
A0A096N8Q4_baboon A0A8I3MWJ1_dog F6X2M1_opossum Q5E9D6_cow Q9BSH5_human Q9CYW4_mouse
A0A096NXA6_baboon A0A5F8HCE5_opossum A0A8I3N1F1_dog A3KN17_cow Q9BSI4_human Q9QXG9_mouse
A0A3Q1LJF1_cow A0A8I3PZM2_dog A0A8I5NJG1_baboon H9H769_opossum Q921G8_mouse Q9BSJ2_human
A0A2I3M1S0_baboon A0A5F8GXS2_opossum A0A8I3PAJ9_dog F1MMF7_cow Q6PIX9_mouse Q9BSJ5_human
A0A096P2K7_baboon A0A3S5ZPI2_cow A0A5F8GJ80_opossum A0A8I3RS68_dog Q8BFY7_mouse Q9BSJ6_human
A0A096P621_baboon A0A8I3Q388_dog A7MB03_cow F7CNW2_opossum Q7TQJ1_mouse Q9BSK0_human
A0A8I3NT13_dog A0A8I5N8M9_baboon F7E7S4_opossum Q29RM5_cow Q9BSK4_human Q9Z2G1_mouse
A0A096NRT8_baboon A0A5F8HCZ7_opossum A0A8I3RTU3_dog Q0VBZ2_cow Q8VDI7_mouse Q9BSL1_human
A0A2I3MVA3_baboon A0A8I3P1I4_dog F1MM90_cow F7BH06_opossum Q8R023_mouse Q9BSM1_human
A0A096NKS8_baboon A0A8I3PCB3_dog F7CMD1_opossum Q0IIE5_cow Q7TQI0_mouse Q9BSN7_human
A0A096MYG4_baboon A0A3Q1LQ70_cow A0A5F8HCV9_opossum A0A8I3N6Q6_dog Q8K2Y9_mouse Q9BSQ5_human
A0A096NAA0_baboon A0A8I3RXF5_dog F1MHD7_cow F6WWU8_opossum Q8C407_mouse Q9BSR8_human
A0A096MZQ1_baboon A0A5F8HLA1_opossum A0A8I3PH15_dog F1MS34_cow Q8C6B2_mouse Q9BST9_human
A0A096NJA7_baboon A0A3Q1MQA6_cow A0A8I3N471_dog F7AGW7_opossum Q922R1_mouse Q9BSU1_human
A0A8I3RT24_dog A0A8I5NR95_baboon F7F900_opossum Q3MHE1_cow Q8BMZ5_mouse Q9BSV6_human
A0A096N7U9_baboon A0A8I3PI36_dog E1BER4_cow F6PSV8_opossum Q3UP38_mouse Q9BSW2_human
A0A096NQJ8_baboon A0A3Q1LRB0_cow A0A8I3MX07_dog F7BSP1_opossum Q920M7_mouse Q9BSW7_human
A0A096NQH5_baboon A0A8I3NT80_dog F6WVX5_opossum Q32LI6_cow Q9BSY4_human Q9CQP3_mouse
A0A2I3LL11_baboon A0A8I3RSM4_dog F1MNH5_cow F7CDN2_opossum Q9BSY9_human Q9D291_mouse
A0A0A0MUE6_baboon A0A5F8G7Y8_opossum A0A8I3PB36_dog E1BBF8_cow Q3UYI6_mouse Q9BT04_human
A0A8I3N2H5_dog A0A8I5N014_baboon F7BLL5_opossum Q0P5N1_cow Q9BT09_human Q9DAU1_mouse
A0A096NLJ6_baboon A0A8I3NP95_dog F1N2J7_cow F6WX46_opossum Q921Q3_mouse Q9BT22_human
A0A096P6E4_baboon A0A8I3P523_dog F6QMX3_opossum Q1LZA7_cow Q8BGB5_mouse Q9BT23_human
A0A0A0MVS7_baboon A0A3Q1MNB2_cow A0A8I3Q1C0_dog F7BXG3_opossum Q99L00_mouse Q9BT25_human
A0A096P299_baboon A0A5F8HKR9_opossum A0A8I3NTC3_dog A6QNM5_cow Q8C5L6_mouse Q9BT40_human
A0A096NS69_baboon A0A5F8G2N8_opossum A0A8I3S7E7_dog A4IFT9_cow Q8VCZ3_mouse Q9BT49_human
A0A096MS17_baboon A0A3Q1MAX3_cow A0A8I3P1A5_dog F7AV91_opossum Q8R0W6_mouse Q9BT67_human
A0A8I3N3W5_dog A0A8I5NKP2_baboon F7B2Y5_opossum Q2NKS3_cow Q9BT73_human Q9CZH3_mouse
A0A8I3MNI3_dog A0A8I5MWD7_baboon F6UVT2_opossum Q80YF6_mouse Q864V4_cow Q9BT76_human
A0A3Q1LUX0_cow A0A8I3S1F9_dog A0A8I5NKG8_baboon F7BRF9_opossum P40646_mouse Q9BT81_human
A0A2I3NEA5_baboon A0A8I3N8L8_dog A6H7H8_cow F6QFD5_opossum Q9BT88_human Q9R0N3_mouse
A0A096MUP5_baboon A0A8I3S567_dog F1MYY5_cow F6SVU9_opossum Q3TVW5_mouse Q9BT92_human
A0A096MWT0_baboon A0A8I3MVY6_dog A7MBE3_cow F6Z559_opossum P17257_mouse Q9BTA0_human
A0A096P3X1_baboon A0A8I3NAJ6_dog F1MGS0_cow F7ELB5_opossum Q924H7_mouse Q9BTA9_human
A0A096NN91_baboon A0A8I3P0D7_dog E1BCR2_cow F6R2K2_opossum Q8C9B9_mouse Q9BTC0_human
A0A096N2Q5_baboon A0A8I3Q0G1_dog A6QL72_cow F6R8V4_opossum Q924K8_mouse Q9BTC8_human
A0A096MPM1_baboon A0A5F8HF97_opossum A0A8I3S285_dog G3MZ75_cow Q80XA0_mouse Q9BTD3_human
A0A2I3M3G3_baboon A0A3Q1M222_cow A0A8I3MK86_dog F6RSA1_opossum Q91V81_mouse Q9BTD8_human
A0A096NSQ8_baboon A0A8I3NX19_dog A6QQK9_cow F6PX69_opossum Q3UG98_mouse Q9BTE0_human
A0A2I3M5K9_baboon A0A3Q1MUW5_cow A0A5F8GU73_opossum A0A8I3MQ01_dog Q9BTE1_human Q9QZB9_mouse
A0A096NTZ7_baboon A0A8I3NV32_dog A5PJM5_cow F6PVV4_opossum Q8R3C0_mouse Q9BTE3_human
A0A096P5W4_baboon A0A8I3N0E9_dog F7F360_opossum Q32LK1_cow Q3THG9_mouse Q9BTE6_human
A0A096N7H0_baboon A0A8I3RPC6_dog F6S901_opossum Q1RMX9_cow Q9BTE7_human Q9CXV9_mouse
A0A5F8HI10_opossum A0A8I3PJ71_dog A0A8I5NZK3_baboon E1B8U2_cow Q9BTF0_human Q9CZB3_mouse
A0A096NMJ4_baboon A0A8I3MG35_dog F6ZT65_opossum Q1LZ80_cow Q99L02_mouse Q9BTK6_human
A0A0A0MUT2_baboon A0A8I3S7L7_dog F7A538_opossum P17950_mouse Q3T0B5_cow Q9BTL4_human
A0A0A0MWJ6_baboon A0A8I3MAN0_dog F6YH73_opossum Q2KHY5_cow Q8BHL6_mouse Q9BTP7_human
A0A096N087_baboon A0A8I3NYI4_dog K7E4R0_opossum P97822_mouse Q0VCH0_cow Q9BTT0_human
A0A096MNU8_baboon A0A5F8HCB8_opossum A0A8I3S492_dog Q3ZCF2_cow Q9BTT4_human Q9CXU0_mouse
A0A096NJB1_baboon A0A3Q1LTV0_cow A0A5F8HCM6_opossum A0A8I3RVW9_dog Q80VQ1_mouse Q9BTT6_human
A0A096P619_baboon A0A8I3Q571_dog A6QLN5_cow F7GIX1_opossum Q2TBE6_mouse Q9BTU6_human
A0A096MPI3_baboon A0A8I3PQI9_dog A6QQR5_cow F7EXZ1_opossum Q9BTV4_human Q9DBS1_mouse
A0A0A0MVS0_baboon A0A8I3S1C1_dog F7A885_opossum Q05B84_cow Q7TPM6_mouse Q9BTV5_human
A0A096NNB1_baboon A0A8I3NWN4_dog F1MFZ2_cow F7GGK4_opossum Q8K3M5_mouse Q9BTV7_human
A0A096NTQ7_baboon A0A5F8GYY1_opossum A0A8I3PYH4_dog Q28205_cow Q8BYA0_mouse Q9BTW9_human
A0A096N2H0_baboon A0A8I3P2N5_dog E1BM06_cow H9H7Z7_opossum Q8VCB1_mouse Q9BTX1_human
A0A2I3LC39_baboon A0A5F8HBA6_opossum A0A8I3N6V0_dog Q3SZZ5_cow Q9BTX3_human Q9CR96_mouse
A0A096NX98_baboon A0A8I3P134_dog F1MTT2_cow F7FXX0_opossum Q9BTX7_human Q9D3D0_mouse
A0A5F8GQV5_opossum A0A8I3NAE2_dog A0A8I5NWG7_baboon F1N5H2_cow Q99KR8_mouse Q9BTY2_human
A0A8I3RUE8_dog A0A8I5N9N2_baboon F1MW97_cow F7DQL3_opossum Q8C3I8_mouse Q9BTY7_human
A0A2I3LD15_baboon A0A8I3MKH3_dog F1MZD5_cow F7FAH7_opossum Q99LB2_mouse Q9BTZ2_human
A0A2I3NDE5_baboon A0A5F8GA32_opossum A0A8I3MTM4_dog Q8JZL3_mouse Q8MKF1_cow Q9BU02_human
A0A2I3N3Z2_baboon A0A8I3N6C9_dog A0JNJ4_cow F7ADJ4_opossum Q3U381_mouse Q9BU19_human
A0A096NXV3_baboon A0A8I3MTE5_dog A2A825_mouse E1BM53_cow F6THU4_opossum Q9BU20_human
A0A096NQQ1_baboon A0A8I3Q2V0_dog F6ZJF8_opossum Q2HJI2_cow Q9BU61_human Q9JKL4_mouse
A0A2I3N6V9_baboon A0A8I3PSY1_dog F7AGM2_opossum Q3ZBK8_cow Q8K015_mouse Q9BU64_human
A0A096P133_baboon A0A8I3NJZ4_dog A5D7V4_cow F6TYQ5_opossum Q562D6_mouse Q9BU70_human
A0A8I3RU02_dog A0A8I5NCL2_baboon A0JNK6_cow B2RVB9_mouse F6VMV2_opossum Q9BU79_human
A0A2I3MPT5_baboon A0A8I3NC31_dog F6PRF3_opossum Q0VC53_cow Q99LN9_mouse Q9BU89_human
A0A8I3RUD0_dog A0A8I5R610_baboon E1BD11_cow F6UIM3_opossum Q05AH6_mouse Q9BUA3_human
A0A096NR60_baboon A0A5F8GIL0_opossum A0A8I3MTY3_dog F1MTS0_cow Q62082_mouse Q9BUA6_human
A0A096N3N3_baboon A0A3Q1LYG8_cow A0A5F8GBC0_opossum A0A8I3PNG4_dog Q9BUB4_human Q9JHI2_mouse
A0A096N7T5_baboon A0A8I3PD30_dog F1N1A8_cow F6VJP3_opossum O08605_mouse Q9BUB5_human
A0A5F8H858_opossum A0A8I3Q5E4_dog A0A8I5NHM4_baboon A6H773_cow Q921N7_mouse Q9BUB7_human
A0A096ML33_baboon A0A8I3MD18_dog F6SVP6_opossum Q2HJ62_cow Q8BMS2_mouse Q9BUD6_human
A0A096N1G9_baboon A0A5F8GYN1_opossum A0A8I3N4Q5_dog Q0VCD4_cow Q9BUE0_human Q9CZ82_mouse
A0A8I3MXR4_dog A0A8I5MUJ4_baboon F7GBC0_opossum Q3SZG8_cow Q9BUE6_human Q9D924_mouse
A0A2I3NDK8_baboon A0A8I3MYG1_dog F7CB79_opossum Q2HJ81_cow Q922F4_mouse Q9BUF5_human
A0A096NRQ2_baboon A0A3Q1MFX9_cow A0A5F8GAL8_opossum A0A8I3MQ58_dog Q8K0Y7_mouse Q9BUH6_human
A0A8I3MTK5_dog A0A8I5NK07_baboon E1BD66_cow F7ABY8_opossum Q68EF6_mouse Q9BUH8_human
A0A0A0MW76_baboon A0A8I3MTA2_dog A4FUC2_cow F7BUF5_opossum Q8VDM6_mouse Q9BUJ2_human
A0A096NBQ1_baboon A0A5F8HBU1_opossum A0A8I3PTT3_dog Q17Q91_cow Q8K2Q5_mouse Q9BUK0_human
A0A096NEC3_baboon A0A8I3RYJ3_dog A5D9D4_cow F6QEX9_opossum Q2YDW2_mouse Q9BUK6_human
A0A2I3M523_baboon A0A8I3S1K3_dog A5D962_cow F7BUK9_opossum Q8BSN5_mouse Q9BUL5_human
A0A096N962_baboon A0A8I3PGJ5_dog F7FLS4_opossum Q0VCQ6_cow Q8VE70_mouse Q9BUL8_human
A0A096NMS5_baboon A0A5F8H4P9_opossum A0A8I3P4R3_dog E1BK83_cow Q91WE3_mouse Q9BUL9_human
A0A096P5Z5_baboon A0A8I3ND17_dog F7G6N4_opossum Q148G2_cow Q6NSQ9_mouse Q9BUM1_human
A0A096N7B4_baboon A0A8I3PK75_dog F1MF73_cow F7GKC0_opossum Q569E4_mouse Q9BUN1_human
A0A096N420_baboon A0A8I3NAL7_dog F6PT99_cow F7FEW5_opossum Q8CEG5_mouse Q9BUN5_human
A0A2I3LIA0_baboon A0A8I3N6X7_dog F7GED8_opossum Q71SS4_cow Q99J56_mouse Q9BUN8_human
A0A096N0D1_baboon A0A8I3PSQ1_dog F7CN52_opossum Q17QM6_cow Q9BUP0_human Q9D4J1_mouse
A0A5F8GLM8_opossum A0A8I3PGF9_dog A0A8I5R944_baboon Q3SX02_cow Q9BUP3_human Q9Z2G9_mouse
A0A096MRQ3_baboon A0A8I3PWD8_dog A6QLB2_cow D3Z0M9_mouse H9H6C9_opossum Q9BUQ8_human
A0A096P2R9_baboon A0A8I3PST8_dog F7ADC7_opossum Q3SWZ7_cow Q8VC51_mouse Q9BUR4_human
A0A096MU27_baboon A0A8I3P1J6_dog K7E004_opossum Q148H0_cow Q9BUR5_human Q9DCZ4_mouse
A0A096P030_baboon A0A8I3QC71_dog F1MLA4_cow F7E5Y6_opossum Q8JZV9_mouse Q9BUT1_human
A0A096NLK6_baboon A0A3Q1MHI2_cow A0A5F8GHU4_opossum A0A8I3NTC2_dog Q8R1C6_mouse Q9BUU2_human
A0A096N526_baboon A0A3Q1M9K5_cow A0A8I3NGA5_dog F6RT42_opossum Q3UC65_mouse Q9BUV0_human
A0A2I3MS51_baboon A0A5F8GRF9_opossum A0A8I3S9V6_dog Q3T187_cow Q9BUV8_human Q9CQT9_mouse
A0A096NTJ9_baboon A0A8I3Q6N5_dog A6H738_cow F6TFR6_opossum Q8R3J5_mouse Q9BUX1_human
A0A096NE42_baboon A0A3Q1MA16_cow A0A8I3NCC2_dog F6Q5F7_opossum Q9BUY7_human Q9D0E5_mouse
A0A096P3D7_baboon A0A8I3N5F7_dog F6RJL7_cow F6RYQ1_opossum Q61382_mouse Q9BUZ4_human
A0A096NKU8_baboon A0A5F8GNP0_opossum A0A8I3MWK6_dog A5PJJ2_cow Q8VDB2_mouse Q9BV10_human
A0A096NYF7_baboon A0A8I3NUF4_dog F1MZT6_cow F6QDQ4_opossum Q5EBG8_mouse Q9BV19_human
A0A0A0MXF5_baboon A0A8I3PVF4_dog F7G2V1_opossum Q2NL31_cow Q9BV20_human Q9CQT1_mouse
A0A096NRE0_baboon A0A5F8GUX5_opossum A0A8I3PJU0_dog Q1LZ86_cow Q8R2Y0_mouse Q9BV23_human
A0A2I3N0L8_baboon A0A5F8G5Q9_opossum A0A8I3Q4W0_dog Q0VC29_cow Q8BS39_mouse Q9BV29_human
A0A0A0MWA6_baboon A0A3Q1MLH1_cow A0A8I3N616_dog F6QWP3_opossum Q6GQS1_mouse Q9BV35_human
A0A096NPX5_baboon A0A8I3Q4S4_dog A2VDU9_cow F7G228_opossum Q91V27_mouse Q9BV36_human
A0A2I3MIA7_baboon A0A8I3NH32_dog F6Z5I2_opossum O70404_mouse Q3T0Y8_cow Q9BV40_human
